year,month,nino34,soi,phase_soi,phase_nino34,phase_either,phase_both
1901,1,0.82,-0.1,neutral,elnino,elnino,elnino
1901,2,0.29,3,neutral,neutral,neutral,neutral
1901,3,0.05,9.4,lanina,neutral,lanina,lanina
1901,4,-0.13,4.5,neutral,neutral,neutral,neutral
1901,5,-0.19,-0.3,neutral,neutral,neutral,neutral
1901,6,-0.26,19.6,lanina,neutral,lanina,lanina
1901,7,-0.3,14.6,lanina,neutral,lanina,lanina
1901,8,-0.38,9.8,lanina,neutral,lanina,lanina
1901,9,-0.3,-16,elnino,neutral,elnino,elnino
1901,10,-0.31,-22.1,elnino,neutral,elnino,elnino
1901,11,-0.39,-8.6,elnino,neutral,elnino,elnino
1901,12,-0.35,-1.9,neutral,neutral,neutral,neutral
1902,1,-0.5,17,lanina,lanina,lanina,lanina
1902,2,-0.26,-2.2,neutral,neutral,neutral,neutral
1902,3,-0.27,11.6,lanina,neutral,lanina,lanina
1902,4,0.2,7.8,lanina,neutral,lanina,lanina
1902,5,0.47,7.6,lanina,neutral,lanina,lanina
1902,6,0.77,2.6,neutral,elnino,elnino,elnino
1902,7,1.44,1.6,neutral,elnino,elnino,elnino
1902,8,1.21,-8.9,elnino,elnino,elnino,elnino
1902,9,1.44,-17.8,elnino,elnino,elnino,elnino
1902,10,1.4,-7.4,elnino,elnino,elnino,elnino
1902,11,1.54,-3.4,neutral,elnino,elnino,elnino
1902,12,1.39,-3,neutral,elnino,elnino,elnino
1903,1,1.33,-9.2,elnino,elnino,elnino,elnino
1903,2,0.93,-10.2,elnino,elnino,elnino,elnino
1903,3,0.79,17.6,lanina,elnino,disagree,disagree
1903,4,0.36,17.7,lanina,neutral,lanina,lanina
1903,5,-0.1,7.6,lanina,neutral,lanina,lanina
1903,6,0.29,-0.6,neutral,neutral,neutral,neutral
1903,7,-0.49,6.1,neutral,neutral,neutral,neutral
1903,8,-0.32,0.1,neutral,neutral,neutral,neutral
1903,9,-0.6,8.7,lanina,lanina,lanina,lanina
1903,10,-0.42,4.2,neutral,neutral,neutral,neutral
1903,11,-0.76,1.3,neutral,lanina,lanina,lanina
1903,12,-1.02,15.9,lanina,lanina,lanina,lanina
1904,1,-0.73,14.1,lanina,lanina,lanina,lanina
1904,2,-0.79,16.2,lanina,lanina,lanina,lanina
1904,3,-0.85,9.4,lanina,lanina,lanina,lanina
1904,4,-0.72,31.7,lanina,lanina,lanina,lanina
1904,5,-0.4,9.2,lanina,neutral,lanina,lanina
1904,6,0.14,-7.1,elnino,neutral,elnino,elnino
1904,7,0.75,-8.9,elnino,elnino,elnino,elnino
1904,8,0.54,0.8,neutral,elnino,elnino,elnino
1904,9,0.01,0.2,neutral,neutral,neutral,neutral
1904,10,0.91,1.2,neutral,elnino,elnino,elnino
1904,11,0.15,-17.2,elnino,neutral,elnino,elnino
1904,12,0.86,2.6,neutral,elnino,elnino,elnino
1905,1,0.68,-9.2,elnino,elnino,elnino,elnino
1905,2,0.72,-16.8,elnino,elnino,elnino,elnino
1905,3,0.92,-30.2,elnino,elnino,elnino,elnino
1905,4,0.29,-42.6,elnino,neutral,elnino,elnino
1905,5,1.08,-37.4,elnino,elnino,elnino,elnino
1905,6,0.59,-31.4,elnino,elnino,elnino,elnino
1905,7,0.82,-21.3,elnino,elnino,elnino,elnino
1905,8,1.04,-7.6,elnino,elnino,elnino,elnino
1905,9,1.42,-7,elnino,elnino,elnino,elnino
1905,10,1.12,-5.6,neutral,elnino,elnino,elnino
1905,11,0.83,-17.9,elnino,elnino,elnino,elnino
1905,12,1.17,-13.1,elnino,elnino,elnino,elnino
1906,1,0.89,-3.5,neutral,elnino,elnino,elnino
1906,2,0.67,-7.4,elnino,elnino,elnino,elnino
1906,3,0.8,-5.2,neutral,elnino,elnino,elnino
1906,4,0.45,-8.8,elnino,neutral,elnino,elnino
1906,5,0.02,1.3,neutral,neutral,neutral,neutral
1906,6,0.15,-3.9,neutral,neutral,neutral,neutral
1906,7,-0.49,6.8,neutral,neutral,neutral,neutral
1906,8,-0.37,15.5,lanina,neutral,lanina,lanina
1906,9,-0.81,18.3,lanina,lanina,lanina,lanina
1906,10,-0.87,9.1,lanina,lanina,lanina,lanina
1906,11,-0.33,21.7,lanina,neutral,lanina,lanina
1906,12,-0.51,4.7,neutral,lanina,lanina,lanina
1907,1,-0.57,5.1,neutral,lanina,lanina,lanina
1907,2,-0.41,1.6,neutral,neutral,neutral,neutral
1907,3,-0.43,-0.3,neutral,neutral,neutral,neutral
1907,4,-0.56,4.5,neutral,lanina,lanina,lanina
1907,5,-0.47,10,lanina,neutral,lanina,lanina
1907,6,-0.41,8.3,lanina,neutral,lanina,lanina
1907,7,-0.55,-4.3,neutral,lanina,lanina,lanina
1907,8,-0.65,-8.2,elnino,lanina,disagree,disagree
1907,9,0.13,0.2,neutral,neutral,neutral,neutral
1907,10,-0.25,0.6,neutral,neutral,neutral,neutral
1907,11,-0.25,-2,neutral,neutral,neutral,neutral
1907,12,-0.09,8.8,lanina,neutral,lanina,lanina
1908,1,-0.27,-10.6,elnino,neutral,elnino,elnino
1908,2,0.07,7.7,lanina,neutral,lanina,lanina
1908,3,-0.63,0.2,neutral,lanina,lanina,lanina
1908,4,-0.55,16.8,lanina,lanina,lanina,lanina
1908,5,-0.45,-1.1,neutral,neutral,neutral,neutral
1908,6,-0.22,-2.3,neutral,neutral,neutral,neutral
1908,7,-0.63,2.2,neutral,lanina,lanina,lanina
1908,8,-0.4,5.3,neutral,neutral,neutral,neutral
1908,9,-0.52,17.7,lanina,lanina,lanina,lanina
1908,10,-0.5,7.9,lanina,lanina,lanina,lanina
1908,11,-0.88,2.6,neutral,lanina,lanina,lanina
1908,12,-1.15,-5.5,neutral,lanina,lanina,lanina
