yield_kg_per_ha,year,.fitted,.resid,sum_area_1000_ha,sum_production_1000_tons,mean_soi,mean_nino34,phase_soi,phase_nino34,phase_either,phase_both
0.6928796221305178,1966,0.7145475091193304,-0.021667886988812612,40424.54,28009.34,0.44999999999999996,0.05500000000000001,neutral,neutral,neutral,neutral
0.7173878081018369,1967,0.7328533911369713,-0.015465583035134456,40416.02,28993.96,4.8,-0.27999999999999997,neutral,neutral,neutral,neutral
0.734211963667995,1968,0.7509634644599698,-0.01675150079197474,39546.4,29035.44,4.25,0.22,neutral,neutral,neutral,neutral
0.76359047716207,1969,0.7688357871076567,-0.005245309945586696,40483.31,30912.67,-5.625,0.3375,neutral,neutral,neutral,neutral
0.7933209117029504,1970,0.7864284170993624,0.006892494603587984,42039.57,33350.87,5.300000000000001,-0.7525,neutral,lanina,lanina,lanina
0.8428736109856355,1971,0.8036994124544176,0.03917419853121795,41508.75,34986.63,8.75,-0.7050000000000001,lanina,lanina,lanina,lanina
0.7952456503031169,1972,0.8206068311921527,-0.025361180889035828,38567.63,30670.74,-13.575000000000001,0.995,elnino,elnino,elnino,elnino
0.8987235652335264,1973,0.8370826341155742,0.061640931117952213,41713.06,37488.51,11.05,-1.1524999999999999,lanina,lanina,lanina,lanina
0.8433494215756061,1974,0.8531613208487853,-0.009811899273179159,41471.28,34974.78,8.375,-0.505,lanina,lanina,lanina,lanina
0.901794454290888,1975,0.8689547576427635,0.03283969664812447,41639.4,37550.18,19.95,-1.2725,lanina,lanina,lanina,lanina
0.7895999346175587,1976,0.8845748107484865,-0.09497487613092781,38053.03,30046.670000000002,-9.425,0.2575,elnino,neutral,elnino,elnino
0.9603267836500505,1977,0.9001333464169312,0.06019343723311932,40494.07,38887.54,-13.475,0.375,elnino,neutral,elnino,elnino
0.9794126541390094,1978,0.9157422308990751,0.06367042323993422,41434.19,40581.17,3.525,-0.5375,neutral,lanina,lanina,lanina
0.9579250213392287,1979,0.9308182360571162,0.027106785282112522,40465.38,38762.8,-1.5,0.13249999999999998,neutral,neutral,neutral,neutral
0.9586840178882866,1980,0.9449420812976975,0.013741936590589088,37785.62,36224.47,-2.5500000000000003,0.009999999999999998,neutral,neutral,neutral,neutral
1.031036290139935,1981,0.9584715541884661,0.07256473595146895,40180.06,41427.1,8.575,-0.2075,lanina,neutral,lanina,lanina
0.9496259050929412,1982,0.9717644422970677,-0.022138537204126507,39310.88,37330.63,-21.1,0.97,elnino,elnino,elnino,elnino
0.9907850971696337,1983,0.9851785331911489,0.005606563978484802,42066.64,41679,-0.17499999999999985,-0.030000000000000002,neutral,neutral,neutral,neutral
0.9770552328491279,1984,0.999071614438356,-0.02201638158922814,41158.84,40214.46,-0.44999999999999973,-0.5125,neutral,lanina,lanina,lanina
0.9941801874998597,1985,1.013801473606335,-0.01962128610647529,40099.23,39865.86,-0.7999999999999998,-0.6074999999999999,neutral,lanina,lanina,lanina
0.9846586932028044,1986,1.0303253799466991,-0.045666686743894735,40773.58,40148.06,0.02499999999999991,0.22749999999999998,neutral,neutral,neutral,neutral
0.9668649904054484,1987,1.0486705891989423,-0.08180559879349392,43113.01,41684.46,-15.975000000000001,1.3975,elnino,elnino,elnino,elnino
1.0745527455643051,1988,1.0677998686625323,0.006752876901772842,42877.16,46073.77,10.600000000000001,-1.4425,lanina,lanina,lanina,lanina
1.07851243497269,1989,1.0866759856369377,-0.008163550664247676,44260.25,47735.23,4.050000000000001,-0.5175,neutral,lanina,lanina,lanina
1.0623627433017575,1990,1.1042617074216259,-0.041898964119868376,43281.13,45980.26,-1.525,0.11,neutral,neutral,neutral,neutral
1.118076271286422,1991,1.1195198013160643,-0.0014435300296422593,44923.59,50228,-7.8500000000000005,0.48,elnino,neutral,elnino,elnino
1.1516881132386199,1992,1.1318377098052927,0.019850403433327113,44448.44,51190.74,-4.375,0.1275,neutral,neutral,neutral,neutral
1.2097494274379104,1993,1.1419517996272597,0.06779762781065068,45174.14,54649.39,-12.1,0.34750000000000003,elnino,neutral,elnino,elnino
1.2158958085993303,1994,1.1508482244607985,0.06504758413853184,43504.55,52897,-15.7,0.3375,elnino,neutral,elnino,elnino
1.1976902591392549,1995,1.159513137984743,0.038177121154511884,42634.22,51062.59,1.675,-0.21,neutral,neutral,neutral,neutral
1.1728379714584518,1996,1.168932693877926,0.0039052775805257234,43841.35,51418.8,8.05,-0.225,lanina,neutral,lanina,lanina
1.110102605636396,1997,1.1800930458191814,-0.06999044018278533,41004.57,45519.28,-17.05,1.6975,elnino,elnino,elnino,elnino
1.3401119710762537,1998,1.1939803474873423,0.1461316235889114,43341.55,58082.53,11.35,-0.6925,lanina,lanina,lanina,lanina
1.2934452503164657,1999,1.2087799370602388,0.08466531325622695,40020.14,51763.86,1.875,-0.9025,neutral,lanina,lanina,lanina
1.4016723457644087,2000,1.222861677294163,0.17881066847024574,42474.47,59535.29,1.5,-0.5175,neutral,lanina,lanina,lanina
1.2555812075142887,2001,1.2374885087356429,0.018092698778645833,40213.52,50491.340000000004,-2.175,-0.1125,neutral,neutral,neutral,neutral
0.9999529395590595,2002,1.2539233719312062,-0.25397043237214667,37823.7,37821.92,-9.174999999999999,0.6925,elnino,elnino,elnino,elnino
1.0157052442014254,2003,1.2734292074273799,-0.2577239632259545,39181.18,39796.53,-3.275,0.037500000000000006,neutral,neutral,neutral,neutral
1.1657675183146479,2004,1.297268955770692,-0.13150143745604415,41782.13,48708.25,-8.125,0.47000000000000003,elnino,neutral,elnino,elnino
1.2636331138105379,2005,1.324303161133303,-0.06067004732276504,43303.02,54719.13,0.12499999999999992,0.0225,neutral,neutral,neutral,neutral
1.3261355106527462,2006,1.3527489673481836,-0.026613456695437465,40246.43,53372.22,-8.9,0.28,elnino,neutral,elnino,elnino
1.5023344484114498,2007,1.382904214453078,0.11943023395837171,41853.57,62878.06,1.025,-0.535,neutral,lanina,lanina,lanina
1.3936915631246385,2008,1.4150667424857304,-0.0213751793610919,40973.7,57104.7,7.25,-0.2,lanina,neutral,lanina,lanina
1.298617740832333,2009,1.449534391483883,-0.15091665065155002,39227.81,50941.93,-0.44999999999999996,0.62,neutral,elnino,elnino,elnino
1.5274890257118174,2010,1.486605001485281,0.040884024226536475,40943.43,62540.64,16.5,-1.1,lanina,lanina,lanina,lanina
1.6806166266002645,2011,1.526576412527667,0.15404021407259738,37458.65,62953.63,6.175,-0.47500000000000003,neutral,neutral,neutral,neutral
