year,region,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
1901,allindia,112.3,241.5,268.9,126.1,748.8,-32.1,-13.9,5.5,-24.9,-13.8
1902,allindia,109,283.2,202.1,201,795.2,-34.1,1,-20.7,19.7,-8.4
1903,allindia,117,292,272,200.1,881.1,-29.2,4.1,6.7,19.2,1.5
1904,allindia,164.4,261.4,204.1,130.6,760.4,-0.5,-6.8,-19.9,-22.2,-12.4
1905,allindia,92.3,251.7,201.3,177.4,722.7,-44.2,-10.2,-21,5.7,-16.8
1906,allindia,177.9,285.5,248.7,183,895.1,7.6,1.8,-2.4,9,3.1
1907,allindia,152.7,223.9,308.9,96.4,781.9,-7.6,-20.1,21.2,-42.6,-10
1908,allindia,126.4,326.1,313.6,152.9,919.1,-23.5,16.3,23,-8.9,5.8
1909,allindia,206.8,308.2,234.5,162.2,911.8,25.1,9.9,-8,-3.4,5
1910,allindia,212.2,246.9,289.6,185.6,934.2,28.4,-11.9,13.6,10.5,7.6
1911,allindia,190.2,163.3,214.7,180.2,748.4,15.1,-41.8,-15.8,7.3,-13.8
1912,allindia,106.8,330.4,262.4,119.4,818.9,-35.4,17.8,2.9,-28.9,-5.7
1913,allindia,213.9,268.1,193.7,109.3,785.1,29.4,-4.4,-24,-34.9,-9.6
1914,allindia,156.5,351.7,242.4,195.3,945.9,-5.3,25.4,-4.9,16.3,8.9
1915,allindia,155.8,230.7,228.6,174.3,789.4,-5.7,-17.7,-10.3,3.8,-9.1
1916,allindia,232.4,271.2,314,200.4,1018.1,40.6,-3.3,23.2,19.4,17.2
1917,allindia,233.1,286.8,297.7,282.3,1099.8,41,2.3,16.8,68.1,26.6
1918,allindia,212.3,186.2,244.2,112.7,755.4,28.4,-33.6,-4.2,-32.9,-13
1919,allindia,195.3,309.5,290,162.8,957.7,18.1,10.4,13.8,-3,10.3
1920,allindia,163.6,297.3,192.7,123.2,776.8,-1,6,-24.4,-26.6,-10.6
1921,allindia,192.3,294.4,279.6,205.1,971.4,16.3,5,9.7,22.2,11.8
1922,allindia,205.1,318.8,220.8,204.1,948.9,24.1,13.7,-13.4,21.6,9.3
1923,allindia,101.7,341.1,277.2,175.1,895,-38.5,21.6,8.7,4.3,3.1
1924,allindia,134.4,330.7,259.8,237.8,962.7,-18.7,17.9,1.9,41.6,10.8
1925,allindia,204.3,306.1,239.1,140,889.5,23.6,9.2,-6.2,-16.6,2.4
1926,allindia,97.4,320.6,337.6,211.7,967.3,-41.1,14.3,32.4,26.1,11.4
1927,allindia,176.9,349.9,260,172.3,959,7,24.8,2,2.6,10.4
1928,allindia,178.8,305.8,233.3,145.9,863.8,8.2,9.1,-8.5,-13.1,-0.5
1929,allindia,194.5,297.7,245.2,125.4,862.9,17.7,6.2,-3.8,-25.3,-0.6
1930,allindia,179.9,292.3,212.9,175.4,860.4,8.8,4.2,-16.5,4.5,-0.9
1931,allindia,132.4,320.9,308.6,191.1,953,-19.9,14.4,21.1,13.8,9.7
1932,allindia,141.5,334.2,239.4,182.3,897.4,-14.4,19.2,-6.1,8.6,3.3
1933,allindia,215.9,284.8,316.4,213.1,1030.3,30.6,1.6,24.1,26.9,18.6
1934,allindia,215.3,285.1,296.8,166.6,963.8,30.2,1.7,16.4,-0.8,11
1935,allindia,158.9,317.3,249,187.1,912.3,-3.9,13.2,-2.3,11.4,5
1936,allindia,246.9,293.5,239.9,195.2,975.5,49.4,4.7,-5.9,16.3,12.3
1937,allindia,163,337.8,209.8,175.6,886.2,-1.4,20.5,-17.7,4.6,2
1938,allindia,273.4,302.5,252.2,170.4,998.5,65.4,7.9,-1.1,1.5,15
1939,allindia,171.5,274,232.2,155.7,833.4,3.8,-2.3,-8.9,-7.3,-4
1940,allindia,174.5,310.7,281.3,125.1,891.5,5.6,10.8,10.4,-25.5,2.6
1941,allindia,170.8,240.5,231.7,155.6,798.5,3.3,-14.2,-9.1,-7.3,-8.1
1942,allindia,190.2,343.8,293.2,182,1009.1,15.1,22.6,15,8.4,16.2
1943,allindia,166.9,311.4,233.6,211.3,923.2,1,11.1,-8.4,25.8,6.3
1944,allindia,154.5,354.4,290.6,155.8,955.4,-6.5,26.4,14,-7.2,10
1945,allindia,156.9,333.3,247.1,214.1,951.4,-5.1,18.9,-3.1,27.5,9.5
1946,allindia,212.7,318.5,297.1,144.2,972.6,28.7,13.6,16.6,-14.1,12
1947,allindia,130.2,313.3,290.8,240.2,974.5,-21.2,11.7,14.1,43.1,12.2
1948,allindia,161.7,345.2,282.8,177.3,967,-2.2,23.1,10.9,5.6,11.3
1949,allindia,162.1,317,242,225.9,946.9,-1.9,13.1,-5.1,34.5,9
1950,allindia,133.8,333.5,234.2,203,904.6,-19.1,18.9,-8.1,20.9,4.2
1951,allindia,160.1,249.5,221.3,123.3,754.2,-3.1,-11,-13.2,-26.6,-13.2
1952,allindia,163.7,284.7,256.1,118.4,822.9,-1,1.5,0.5,-29.5,-5.3
1953,allindia,162.4,321.1,299.7,178.3,961.5,-1.8,14.5,17.6,6.2,10.7
1954,allindia,141.1,293.8,230.8,246.8,912.4,-14.6,4.8,-9.5,47,5.1
1955,allindia,174.7,233.5,321.7,218,947.9,5.7,-16.7,26.2,29.8,9.1
1956,allindia,209.2,363.1,260.8,165.5,998.6,26.6,29.5,2.3,-1.4,15
1957,allindia,154.4,305.5,272.9,131.7,864.5,-6.6,9,7.1,-21.6,-0.5
1958,allindia,122.2,315.6,321.6,231,990.4,-26.1,12.6,26.2,37.6,14
1959,allindia,167.7,374.3,264.8,236.6,1043.3,1.5,33.5,3.9,40.9,20.1
1960,allindia,157.3,317,252.5,181.3,908.1,-4.8,13.1,-0.9,8,4.6
1961,allindia,192.4,337.1,286.4,235.2,1051.1,16.4,20.2,12.4,40.1,21
1962,allindia,135.2,280.8,276.4,210.2,902.5,-18.2,0.1,8.4,25.2,3.9
1963,allindia,166.9,256.8,317.6,165.4,906.7,1,-8.4,24.6,-1.5,4.4
