crop,rainfall_region,year,sum_area_1000_ha,sum_production_1000_tons,yield_kg_per_ha,actual_rainfall_jun,actual_rainfall_jul,actual_rainfall_aug,actual_rainfall_sept,actual_rainfall_jjas,departure_percentage_jun,departure_percentage_jul,departure_percentage_aug,departure_percentage_sep,departure_percentage_jjas,yield_fitted,yield_resid,mean_soi,mean_nino34,phase_soi,phase_nino34,phase_either,phase_both
Maize,Peninsular India,1966,260.4,196.6,0.7549923195084486,109,235,142,185,671,-32.3,14.9,-25.5,15.6,-6.3,1.1843761760884735,-0.42938385658002487,0.44999999999999996,0.05500000000000001,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1967,274.7,321.8,1.1714597742992354,143.8,271.9,155.1,119.3,690.2,-10.7,33,-18.6,-25.4,-3.6,1.2418895730853279,-0.07042979878609246,4.8,-0.27999999999999997,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1968,297.2,365.5,1.2298115746971736,138.7,260.4,89.4,195.4,684,-13.9,27.3,-53.1,22.1,-4.5,1.2987664299735493,-0.06895485527637568,4.25,0.22,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1969,316.5,481.4,1.5210110584518168,125,239,174,131.5,669.5,-22.4,16.9,-8.7,-17.8,-6.5,1.3547530579467664,0.16625800050505046,-5.625,0.3375,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1970,333.6,576.8,1.7290167865707433,155.7,195.6,254.8,150.2,756.3,-3.3,-4.4,33.7,-6.1,5.6,1.409595768198607,0.3194210183721362,5.300000000000001,-0.7525,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,1971,358.4,551.5,1.5387834821428572,177.7,155.1,167.1,143.9,643.8,10.4,-24.2,-12.3,-10.1,-10.1,1.4630408719226997,0.07574261022015749,8.75,-0.7050000000000001,La Niña,La Niña,La Niña,La Niña
Maize,Peninsular India,1972,376.9,528.8,1.4030246749801007,145.4,176.3,89.7,145.3,556.7,-9.7,-13.8,-52.9,-9.2,-22.3,1.5148346803126722,-0.11181000533257146,-13.575000000000001,0.995,El Niño,El Niño,El Niño,El Niño
Maize,Peninsular India,1973,387,681.1,1.7599483204134367,161.7,191.2,223,118.2,694.2,0.4,-6.5,17,-26.1,-3.1,1.564617392590035,0.19533092782340167,11.05,-1.1524999999999999,La Niña,La Niña,La Niña,La Niña
Maize,Peninsular India,1974,410,746.9,1.8217073170731708,102.5,217.4,159.8,213.9,693.6,-36.3,6.3,-16.2,33.7,-3.1,1.6126176032077835,0.20908971386538733,8.375,-0.505,La Niña,La Niña,La Niña,La Niña
Maize,Peninsular India,1975,456.5,902.9,1.9778751369112815,200.6,240.9,215.1,235.8,892.4,24.6,17.8,12.9,47.4,24.6,1.6594642162067763,0.31841092070450516,19.95,-1.2725,La Niña,La Niña,La Niña,La Niña
Maize,Peninsular India,1976,440.1,655.4,1.4892069984094525,90.7,244.7,207.9,95.7,639.1,-43.7,19.7,9.1,-40.2,-10.8,1.7057861356278718,-0.21657913721841937,-9.425,0.2575,El Niño,Neutral,El Niño,El Niño
Maize,Peninsular India,1977,462.4,906,1.9593425605536332,160,213.3,166.2,112.2,651.6,-0.6,4.3,-12.8,-29.9,-9,1.7522122655119288,0.20713029504170444,-13.475,0.375,El Niño,Neutral,El Niño,El Niño
Maize,Peninsular India,1978,539.2,812.7,1.5072329376854599,197.1,258.1,223.5,165.1,843.7,22.4,26.2,17.3,3.2,17.8,1.7993715098998038,-0.2921385722143439,3.525,-0.5375,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,1979,474,869,1.8333333333333333,152.9,173.5,148.5,215.1,689.9,-5,-15.2,-22.1,34.4,-3.7,1.8435927756363955,-0.010259442303062194,-1.5,0.13249999999999998,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1980,489.5,1007.1,2.057405515832482,212.5,212.8,199.3,118.2,742.8,32,4.1,4.6,-26.1,3.7,1.8823529509471788,0.1750525648853034,-2.5500000000000003,0.009999999999999998,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1981,520.7,1079.2,2.0725945842135585,186.2,203.8,229,256.5,875.5,15.7,-0.3,20.1,60.3,22.3,1.918002911943882,0.15459167226967652,8.575,-0.2075,La Niña,Neutral,La Niña,La Niña
Maize,Peninsular India,1982,496.8,1207.1,2.4297504025764893,150.3,200.2,183.8,129.2,663.5,-6.6,-2.1,-3.6,-19.3,-7.3,1.952893534738232,0.4768568678382574,-21.1,0.97,El Niño,El Niño,El Niño,El Niño
Maize,Peninsular India,1983,513,1030.6,2.00896686159844,157.2,220.9,286.6,250.3,914.9,-2.4,8,50.4,56.4,27.8,1.9893756954419552,0.01959116615648493,-0.17499999999999985,-0.030000000000000002,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1984,490.9,907.4,1.8484416378081077,161,257.3,102,141.5,661.9,0,25.8,-46.5,-11.6,-7.6,2.0298002701667803,-0.18135863235867267,-0.44999999999999973,-0.5125,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,1985,493.8,924.6999999999999,1.8726204941271767,190.7,166.8,159.4,108,624.9,18.4,-18.4,-16.4,-32.5,-12.7,2.0765181350244326,-0.20389764089725593,-0.7999999999999998,-0.6074999999999999,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,1986,516,916.6,1.7763565891472868,162.2,140.2,216.9,129.7,648.9,0.7,-31.4,13.8,-18.9,-9.4,2.1331319912818327,-0.35677540213454595,0.02499999999999991,0.22749999999999998,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1987,530.3,1033.5,1.9488968508391478,141.3,119.2,185.7,111.1,557.3,-12.2,-41.7,-2.6,-30.6,-22.2,2.1987863694322725,-0.2498895185931247,-15.975000000000001,1.3975,El Niño,El Niño,El Niño,El Niño
Maize,Peninsular India,1988,581.4,1245.5,2.1422428620571035,112.9,305.7,253.1,235.5,907.3,-29.9,49.5,32.8,47.2,26.7,2.2691448894270367,-0.12690202736993328,10.600000000000001,-1.4425,La Niña,La Niña,La Niña,La Niña
Maize,Peninsular India,1989,591.2,1429.71,2.4183186738836264,175.6,301.8,156.2,173.2,806.8,9.1,47.6,-18,8.2,12.7,2.339871171217412,0.07844750266621459,4.050000000000001,-0.5175,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,1990,586.51,1319.84,2.2503282126476956,158.3,159.6,228.9,115.7,662.5,-1.7,-22,20.1,-27.7,-7.5,2.4066288347546823,-0.1563006221069867,-1.525,0.11,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1991,630.76,1534,2.4319868095630666,269.5,238.1,161,126,794.6,67.4,16.4,-15.5,-21.3,11,2.4650814999901334,-0.03309469042706681,-7.8500000000000005,0.48,El Niño,Neutral,El Niño,El Niño
Maize,Peninsular India,1992,680.5,1914.59,2.8135047759000735,181.9,198.9,203.4,139.9,724.1,13,-2.7,6.7,-12.6,1.1,2.5165887890773107,0.2969159868227629,-4.375,0.1275,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1993,663.52,1790.42,2.6983662888835305,130.2,224.8,152.7,124.6,632.3,-19.1,9.9,-19.9,-22.1,-11.7,2.5661412188425348,0.1322250700409957,-12.1,0.34750000000000003,El Niño,Neutral,El Niño,El Niño
Maize,Peninsular India,1994,711.25,1919.1200000000001,2.6982355008787344,162,274.7,175.1,90.6,702.3,0.6,34.3,-8.1,-43.4,-1.9,2.614848751246259,0.08338674963247561,-15.7,0.3375,El Niño,Neutral,El Niño,El Niño
Maize,Peninsular India,1995,744.94,2093.29,2.810011544553924,124.9,249.2,199.6,135.3,709,-22.4,21.9,4.7,-15.4,-1,2.6638213482489355,0.14619019630498853,1.675,-0.21,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,1996,855.64,2655.59,3.103630031321584,213.4,194.8,205.8,188.8,802.8,32.5,-4.7,8,18,12.1,2.7141689718110156,0.3894610595105683,8.05,-0.225,La Niña,Neutral,La Niña,La Niña
Maize,Peninsular India,1997,1015.42,2688.92,2.6480865060763032,147,244.6,197.1,168.5,757.3,-8.7,19.6,3.4,5.3,5.8,2.7670015838929527,-0.11891507781664945,-17.05,1.6975,El Niño,El Niño,El Niño,El Niño
Maize,Peninsular India,1998,967.01,3142.63,3.2498422973909267,165.3,229.4,214.6,219.3,828.5,2.7,12.2,12.6,37.1,15.7,2.8234291464551977,0.42641315093572896,11.35,-0.6925,La Niña,La Niña,La Niña,La Niña
Maize,Peninsular India,1999,1017.39,2943.96,2.8936396072302655,141.1,213.2,142.1,110.1,606.5,-12.4,4.3,-25.4,-31.2,-15.3,2.8810578399512528,0.012581767279012723,1.875,-0.9025,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,2000,1278.05,3855.72,3.016877273972067,195.5,169.7,289.8,134.8,789.8,21.4,-17,52,-15.7,10.3,2.9377197934773114,0.07915748049475546,1.5,-0.5175,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,2001,958.76,2760.88,2.8796361967541406,150.2,147.2,154.7,154.9,606.9,-6.7,-28,-18.8,-3.2,-15.2,2.9948638919578707,-0.11522769520373011,-2.175,-0.1125,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,2002,1296.61,3020.65,2.3296519385165935,136.4,89.3,172.3,68.9,466.9,-15.3,-56.3,-9.6,-56.9,-34.8,3.0539390203174235,-0.72428708180083,-9.174999999999999,0.6925,El Niño,El Niño,El Niño,El Niño
Maize,Peninsular India,2003,1498.97,3937.78,2.62699053349967,131.3,203,164.1,86.1,584.5,-18.4,-0.7,-13.9,-46.2,-18.4,3.1163940634804654,-0.4894035299807955,-3.275,0.037500000000000006,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,2004,1697.15,4867.63,2.8681200836696816,144.5,174.6,140.2,143.1,602.3,-10.2,-14.6,-26.4,-10.6,-15.9,3.1836779063714906,-0.315557822701809,-8.125,0.47000000000000003,El Niño,Neutral,El Niño,El Niño
Maize,Peninsular India,2005,1896.69,6134.67,3.2344083640447305,138,281.7,156.4,217.8,793.7,-14.3,37.8,-17.9,36.1,10.8,3.2542176716433326,-0.01980930759860211,0.12499999999999992,0.0225,Neutral,Neutral,Neutral,Neutral
Maize,Peninsular India,2006,1884.24,5862.64,3.111408313166051,159,161.7,180.9,188.5,690.1,-1.2,-20.9,-5.1,17.8,-3.6,3.3258725980671953,-0.21446428490114444,-8.9,0.28,El Niño,Neutral,El Niño,El Niño
Maize,Peninsular India,2007,2122.05,8221.7,3.874413892226856,241.8,216.5,223.3,227,908.6,50.2,5.9,17.2,41.9,26.9,3.399239744745132,0.47517414748172415,1.025,-0.535,Neutral,La Niña,La Niña,La Niña
Maize,Peninsular India,2008,2206.91,8365.99,3.790816118464278,135.1,174.9,242.6,147.3,699.9,-16.1,-14.5,27.3,-7.9,-2.3,3.474916170779196,0.3158999476850819,7.25,-0.2,La Niña,Neutral,La Niña,La Niña
Maize,Peninsular India,2009,2267.36,6824.36,3.009826406040505,110.4,221.8,155.7,193.7,681.7,-31.4,8.5,-18.3,21.1,-4.8,3.5534989352714383,-0.5436725292309332,-0.44999999999999996,0.62,Neutral,El Niño,El Niño,El Niño
Maize,Peninsular India,2010,2261.71,9424.960000000001,4.16718323746192,161.1,273.6,227,172.8,834.6,0.1,33.8,19.1,8,16.5,3.635585097323913,0.5315981401380068,16.5,-1.1,La Niña,La Niña,La Niña,La Niña
Maize,Peninsular India,2011,2494.27,9437.26,3.7835759560913615,156.9,213.6,212.9,125.8,709.2,-2.5,4.4,11.7,-21.4,-1,3.721771716038671,0.061804240052690584,6.175,-0.47500000000000003,Neutral,Neutral,Neutral,Neutral
