actual_year,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_year,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
1901,104.2,283.1,325.2,114.6,827.1,1901,-38.8,-11.9,5.3,-35.5,-15.4
1902,63.3,333.3,228.4,212.0,837.0,1902,-62.8,3.7,-26.0,19.4,-14.4
1903,94.6,380.5,281.4,204.5,960.9,1903,-44.5,18.4,-8.9,15.1,-1.8
1904,184.4,265.0,212.8,156.6,818.9,1904,8.3,-17.5,-31.1,-11.8,-16.3
1905,57.6,342.5,172.8,203.2,776.1,1905,-66.2,6.6,-44.0,14.4,-20.7
1906,215.7,354.2,232.5,203.7,1006.1,1906,26.7,10.2,-24.7,14.7,2.9
1907,148.3,262.9,405.5,76.3,892.9,1907,-12.9,-18.2,31.3,-57,-8.7
1908,142.7,407.3,387.7,132.7,1070.4,1908,-16.2,26.7,25.6,-25.3,9.4
1909,211.3,378.0,202.5,162.8,954.5,1909,24.1,17.6,-34.4,-8.3,-2.4
1910,242.3,252.0,323.0,225.6,1042.9,1910,42.3,-21.6,4.6,27,6.6
1911,209.6,160.6,271.8,172.5,814.5,1911,23.1,-50.0,-12.0,-2.9,-16.7
1912,88.6,421.2,306.7,114.1,930.5,1912,-48.0,31.1,-0.7,-35.8,-4.9
1913,247.3,354.0,229.1,103.0,933.5,1913,45.2,10.1,-25.8,-42,-4.6
1914,203.2,409.3,245.0,239.7,1097.1,1914,19.3,27.3,-20.7,35,12.2
1915,166.9,256.8,234.9,183.9,842.5,1915,-2.0,-20.1,-23.9,3.5,-13.9
1916,241.1,265.6,360.8,214.3,1081.8,1916,41.6,-17.4,16.8,20.7,10.6
1917,234.2,307.4,343.7,286.4,1171.7,1917,37.5,-4.4,11.3,61.3,19.8
1918,202.1,155.6,247.8,84.7,690.2,1918,18.7,-51.6,-19.8,-52.3,-29.4
1919,227.7,338.1,423.8,125.6,1115.1,1919,33.7,5.2,37.2,-29.3,14.0
1920,144.8,346.2,189.9,94.9,775.7,1920,-15.0,7.7,-38.5,-46.6,-20.7
1921,185.7,316.1,257.0,242.8,1001.6,1921,9.0,-1.6,-16.8,36.7,2.4
1922,180.9,353.1,182.3,242.8,959.1,1922,6.2,9.9,-41.0,36.7,-1.9
1923,46.2,400.8,312.8,182.4,942.1,1923,-72.9,24.7,1.3,2.7,-3.7
1924,77.2,307.7,282.3,214.0,881.2,1924,-54.7,-4.3,-8.6,20.5,-9.9
1925,244.4,328.0,247.8,105.7,925.9,1925,43.5,2.1,-19.8,-40.5,-5.3
1926,52.2,323.4,456.2,284.2,1116.1,1926,-69.3,0.6,47.7,60,14.1
1927,177.6,448.3,266.2,129.4,1021.5,1927,4.3,39.5,-13.8,-27.1,4.4
1928,157.8,377.7,222.9,152.8,911.3,1928,-7.3,17.5,-27.8,-14,-6.8
1929,158.9,378.5,254.7,129.5,921.5,1929,-6.7,17.8,-17.5,-27.1,-5.8
1930,176.2,373.5,203.6,194.1,947.5,1930,3.5,16.2,-34.1,9.3,-3.1
1931,85.7,335.3,408.2,192.1,1021.4,1931,-49.7,4.3,32.2,8.2,4.4
1932,99.4,489.4,198.5,212.2,999.5,1932,-41.6,52.3,-35.7,19.5,2.2
1933,220.6,328.1,358.3,276.1,1183.2,1933,29.5,2.1,16.0,55.5,21.0
1934,214.1,306.4,376.1,243.2,1139.7,1934,25.7,-4.7,21.8,36.9,16.5
1935,133.3,448.1,196.5,202.5,980.4,1935,-21.7,39.4,-36.4,14,0.2
1936,293.8,265.1,259.5,203.1,1021.5,1936,72.5,-17.5,-16.0,14.4,4.4
1937,200.3,455.6,192.3,221.6,1069.8,1937,17.6,41.8,-37.7,24.8,9.4
1938,289.4,337.4,252.3,156.1,1035.2,1938,69.9,5.0,-18.3,-12.1,5.8
1939,132.5,331.3,332.9,133.9,930.7,1939,-22.2,3.1,7.8,-24.6,-4.8
1940,206.0,400.8,331.2,94.5,1032.5,1940,21.0,24.7,7.3,-46.8,5.6
1941,144.1,313.7,220.9,118.8,797.4,1941,-15.4,-2.4,-28.5,-33.1,-18.5
1942,174.3,475.7,333.1,176.8,1159.8,1942,2.3,48.0,7.9,-0.5,18.6
1943,168.0,397.9,217.2,233.3,1016.4,1943,-1.4,23.8,-29.7,31.4,3.9
1944,114.9,521.8,381.3,141.2,1159.1,1944,-32.5,62.4,23.5,-20.5,18.5
1945,181.7,406.4,268.4,259.7,1116.2,1945,6.7,26.4,-13.1,46.2,14.1
1946,257.4,347.4,378.7,142.8,1126.4,1946,51.1,8.1,22.6,-19.6,15.2
1947,99.0,350.6,369.9,239.4,1059.0,1947,-41.9,9.1,19.8,34.8,8.3
1948,160.5,311.2,289.3,207.4,968.5,1948,-5.8,-3.2,-6.3,16.8,-1.0
1949,129.7,326.9,256.1,297.9,1010.6,1949,-23.8,1.7,-17.1,67.7,3.3
1950,94.8,445.9,214.9,202.9,958.5,1950,-44.3,38.7,-30.4,14.2,-2.0
1951,141.4,296.1,271.2,112.6,821.3,1951,-17.0,-7.9,-12.2,-36.6,-16.0
1952,158.1,363.7,257.5,130.7,910.0,1952,-7.2,13.2,-16.6,-26.4,-7.0
1953,151.5,320.9,406.1,156.9,1035.4,1953,-11.0,-0.2,31.5,-11.7,5.9
1954,128.9,334.7,260.1,354.5,1078.3,1954,-24.3,4.1,-15.8,99.6,10.2
1955,202.1,209.9,389.0,276.3,1077.4,1955,18.7,-34.7,26.0,55.6,10.2
1956,206.3,468.9,311.1,187.6,1173.8,1956,21.1,45.9,0.7,5.6,20.0
1957,134.2,321.4,332.4,107.0,895.0,1957,-21.2,0.0,7.6,-39.8,-8.5
1958,120.1,400.4,323.9,253.8,1098.2,1958,-29.5,24.6,4.9,42.9,12.3
1959,155.4,454.3,324.9,299.2,1233.7,1959,-8.7,41.4,5.2,68.5,26.1
1960,181.1,323.4,312.3,131.3,948.1,1960,6.3,0.6,1.1,-26.1,-3.1
1961,202.6,426.2,314.1,349.9,1292.8,1961,19.0,32.6,1.7,97,32.2
1962,86.9,339.0,248.3,242.5,916.7,1962,-49.0,5.5,-19.6,36.5,-6.3
1963,151.1,288.5,373.5,186.6,999.7,1963,-11.3,-10.2,21.0,5.1,2.2
1964,164.2,323.8,368.5,187.7,1044.1,1964,-3.6,0.7,19.3,5.7,6.7
1965,95.2,342.8,185.2,132.1,755.3,1965,-44.1,6.7,-40.0,-25.6,-22.8
1966,161.7,316.0,173.5,141.8,792.9,1966,-5.0,-1.7,-43.8,-20.2,-18.9
1967,173.3,378.1,289.7,184.7,1025.8,1967,1.8,17.6,-6.2,4,4.9
1968,110.6,324.4,258.2,153.0,846.4,1968,-35.1,0.9,-16.4,-13.9,-13.5
1969,115.1,403.6,271.8,214.6,1005.1,1969,-32.4,25.6,-12.0,20.8,2.8
1970,255.7,281.6,413.7,230.1,1181.2,1970,50.1,-12.4,34.0,29.6,20.8
1971,254.4,296.9,278.9,155.4,985.6,1971,49.4,-7.6,-9.7,-12.5,0.8
1972,118.6,223.6,298.5,122.5,763.1,1972,-30.4,-30.4,-3.3,-31,-22.0
1973,98.1,406.6,371.3,226.7,1102.7,1973,-42.4,26.5,20.2,27.6,12.7
1974,91.9,243.2,281.3,103.5,719.8,1974,-46.0,-24.3,-8.9,-41.7,-26.4
1975,192.2,300.4,385.7,257.6,1136.0,1975,12.9,-6.5,24.9,45,16.1
1976,162.7,386.7,345.8,151.2,1046.4,1976,-4.5,20.3,12.0,-14.9,7.0
1977,212.1,354.1,293.7,173.4,1033.2,1977,24.5,10.2,-4.9,-2.4,5.6
1978,210.5,310.5,371.6,120.6,1013.2,1978,23.6,-3.4,20.3,-32.1,3.6
1979,166.5,210.4,322.8,124.9,824.7,1979,-2.2,-34.5,4.5,-29.7,-15.7
1980,296.5,293.7,321.8,153.3,1065.3,1980,74.1,-8.6,4.2,-13.7,8.9
1981,153.3,313.8,306.3,212.8,986.2,1981,-10.0,-2.4,-0.8,19.8,0.8
1982,113.0,250.8,359.8,112.7,836.3,1982,-33.6,-22.0,16.5,-36.5,-14.5
1983,151.1,311.5,372.9,296.3,1131.8,1983,-11.3,-3.1,20.8,66.8,15.7
1984,159.1,266.5,367.8,104.1,897.5,1984,-6.6,-17.1,19.1,-41.4,-8.2
1985,138.0,288.0,282.1,138.4,846.6,1985,-19.0,-10.4,-8.6,-22.1,-13.4
1986,231.1,293.1,247.5,77.6,849.3,1986,35.7,-8.8,-19.9,-56.3,-13.2
1987,102.3,233.6,259.3,117.5,712.6,1987,-39.9,-27.3,-16.0,-33.8,-27.1
1988,168.8,406.9,269.6,215.7,1061.0,1988,-0.9,26.6,-12.7,21.5,8.5
1989,212.9,278.7,309.3,136.8,937.7,1989,25.0,-13.3,0.2,-23,-4.1
1990,221.7,274.6,394.2,214.7,1105.2,1990,30.2,-14.6,27.7,20.9,13.0
1991,156.0,380.3,284.5,71.1,892.0,1991,-8.4,18.3,-7.9,-60,-8.8
1992,127.0,296.8,361.5,164.8,950.1,1992,-25.4,-7.7,17.1,-7.2,-2.9
1993,152.2,349.8,223.0,248.5,973.5,1993,-10.6,8.8,-27.8,39.9,-0.5
1994,269.2,458.7,366.3,213.2,1307.5,1994,58.1,42.7,18.6,20,33.7
1995,91.7,363.4,229.6,156.8,841.5,1995,-46.2,13.1,-25.6,-11.7,-14.0
1996,134.4,333.4,293.1,140.6,901.5,1996,-21.1,3.7,-5.1,-20.8,-7.8
1997,176.4,319.7,338.4,155.4,989.9,1997,3.6,-0.5,9.6,-12.5,1.2
1998,145.3,296.0,237.2,254.7,933.2,1998,-14.7,-7.9,-23.2,43.4,-4.6
1999,195.3,268.4,228.8,250.2,942.8,1999,14.7,-16.5,-25.9,40.9,-3.6
2000,168.7,331.3,207.2,82.7,789.9,2000,-0.9,3.1,-32.9,-53.4,-19.2
2001,258.4,365.8,268.2,74.1,966.4,2001,51.7,13.8,-13.1,-58.3,-1.2
2002,214.2,97.8,330.3,137.3,779.6,2002,25.8,-69.6,7.0,-22.7,-20.3
2003,166.5,379.4,320.5,232.7,1099.0,2003,-2.2,18.0,3.8,31,12.4
2004,177.0,248.4,362.3,112.5,900.3,2004,3.9,-22.7,17.3,-36.7,-8.0
2005,198.4,412.0,216.7,261.4,1088.4,2005,16.5,28.2,-29.8,47.2,11.3
2006,130.5,404.7,450.9,180.5,1166.7,2006,-23.4,25.9,46.0,1.6,19.3
2007,212.1,310.0,315.6,229.1,1066.7,2007,24.5,-3.5,2.2,29,9.1
2008,210.4,251.5,282.3,233.0,977.3,2008,23.5,-21.7,-8.6,31.2,-0.1
2009,68.2,407.6,195.0,134.1,804.9,2009,-60.0,26.8,-36.9,-24.5,-17.7
2010,122.0,380.0,333.4,218.0,1053.4,2010,-28.4,18.2,8.0,22.7,7.7
2011,187.9,297.6,353.7,247.6,1086.8,2011,10.3,-7.4,14.5,39.4,11.1
2012,100.6,320.7,304.4,220.0,945.6,2012,-40.9,-0.2,-1.4,23.9,-3.3
2013,274.0,422.8,295.9,184.0,1176.6,2013,60.9,31.5,-4.2,3.6,20.3
2014,63.3,361.8,253.8,202.9,881.7,2014,-62.8,12.6,-17.8,14.2,-9.9
2015,201.1,261.5,198.5,137.5,798.6,2015,18.1,-18.6,-35.7,-22.6,-18.4
2016,138.7,383.4,319.7,198.4,1040.3,2016,-18.6,19.3,3.5,11.7,6.4
2017,175.1,359.6,232.3,156.4,923.4,2017,2.8,11.9,-24.8,-11.9,-5.6
2018,161.0,354.6,276.6,124.5,916.7,2018,-5.5,10.3,-10.4,-29.9,-6.3
2019,117.3,351.4,428.2,368.2,1265.2,2019,-31.1,9.3,38.7,107.3,29.4
2020,219.5,249.5,495.5,158.0,1122.5,2020,28.9,-22.4,60.5,-11,14.8
2021,196.5,297.7,186.6,327.3,1008.1,2021,15.4,-7.4,-39.6,84.3,3.1
2022,118.9,458.7,364.9,219.3,1161.1,2022,-30.2,42.7,18.2,23.5,18.7
