actual_year,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_year,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
1901,24.5,180.9,227.8,74.4,507.5,1901,-68.6,-13.7,15.5,-27.5,-13.6
1902,64.8,206.2,137.9,117.1,525.9,1902,-17.0,-1.7,-30.1,14.1,-10.5
1903,27.3,208.2,238.7,156.0,630.2,1903,-65.0,-0.7,21.0,52,7.2
1904,57.0,221.6,193.3,68.7,540.5,1904,-27.0,5.7,-2.0,-33,-8.0
1905,27.4,151.2,114.5,134.5,427.5,1905,-64.9,-27.9,-41.9,31.1,-27.2
1906,89.0,183.5,203.9,183.4,659.7,1906,14.0,-12.5,3.4,78.8,12.3
1907,39.1,123.4,257.9,12.6,433.1,1907,-49.9,-41.2,30.8,-87.7,-26.3
1908,41.9,267.5,337.6,69.2,716.1,1908,-46.4,27.6,71.2,-32.6,21.9
1909,121.1,288.8,200.6,142.5,753.0,1909,55.1,37.7,1.7,38.9,28.1
1910,118.5,175.4,270.8,115.2,679.9,1910,51.7,-16.4,37.3,12.3,15.7
1911,77.9,61.6,145.8,172.5,457.8,1911,-0.3,-70.6,-26.1,68.1,-22.1
1912,33.8,235.8,205.8,81.7,557.2,1912,-56.7,12.4,4.4,-20.4,-5.2
1913,119.1,149.9,138.8,40.3,448.2,1913,52.5,-28.5,-29.6,-60.7,-23.7
1914,71.5,328.1,177.9,137.7,715.4,1914,-8.5,56.5,-9.8,34.2,21.7
1915,54.5,135.8,198.0,120.0,508.3,1915,-30.2,-35.2,0.4,17,-13.5
1916,122.7,222.3,288.4,128.7,762.1,1916,57.1,6.0,46.2,25.4,29.7
1917,135.0,243.1,268.9,281.4,928.4,1917,72.9,15.9,36.4,174.3,58.0
1918,70.0,78.0,158.2,32.5,338.8,1918,-10.4,-62.8,-19.8,-68.3,-42.3
1919,43.6,254.1,241.3,86.8,625.9,1919,-44.2,21.2,22.4,-15.4,6.5
1920,87.2,242.6,103.4,38.5,471.6,1920,11.7,15.7,-47.6,-62.5,-19.7
1921,77.3,168.6,256.2,135.9,638.0,1921,-1.0,-19.6,29.9,32.5,8.6
1922,75.8,247.0,216.2,184.9,723.8,1922,-2.9,17.8,9.6,80.2,23.2
1923,24.7,226.0,273.3,94.8,618.7,1923,-68.4,7.8,38.6,-7.6,5.3
1924,20.2,250.7,208.6,227.2,706.7,1924,-74.1,19.6,5.8,121.4,20.3
1925,132.8,280.7,164.9,55.8,634.2,1925,70.0,33.9,-16.4,-45.6,7.9
1926,18.6,233.7,275.3,143.1,670.7,1926,-76.2,11.4,39.6,39.5,14.1
1927,42.5,237.7,258.3,64.8,603.4,1927,-45.6,13.4,31.0,-36.8,2.7
1928,51.9,193.7,160.5,57.7,463.8,1928,-33.5,-7.6,-18.6,-43.8,-21.1
1929,70.4,222.8,234.6,28.1,555.8,1929,-9.9,6.2,19.0,-72.6,-5.4
1930,64.7,267.5,157.0,79.1,568.2,1930,-17.2,27.6,-20.4,-22.9,-3.3
1931,18.1,204.4,262.4,135.5,620.4,1931,-76.8,-2.5,33.1,32.1,5.6
1932,42.7,210.2,208.2,96.4,557.4,1932,-45.3,0.2,5.6,-6,-5.1
1933,120.4,180.0,247.6,138.6,686.6,1933,54.2,-14.2,25.6,35.1,16.8
1934,96.1,188.4,253.9,78.7,617.1,1934,23.0,-10.2,28.8,-23.3,5.0
1935,32.7,225.5,170.9,107.1,536.3,1935,-58.1,7.5,-13.3,4.4,-8.7
1936,151.7,238.5,197.5,114.9,702.6,1936,94.2,13.7,0.2,12,19.6
1937,65.0,237.3,138.1,101.7,542.1,1937,-16.8,13.2,-30.0,-0.9,-7.7
1938,144.8,200.2,164.2,48.0,557.2,1938,85.4,-4.5,-16.7,-53.2,-5.2
1939,78.4,155.1,112.6,105.5,451.6,1939,0.4,-26.0,-42.9,2.8,-23.1
1940,65.4,180.0,230.4,54.5,530.2,1940,-16.3,-14.2,16.8,-46.9,-9.8
1941,73.2,109.8,183.4,95.9,462.3,1941,-6.3,-47.6,-7.0,-6.5,-21.3
1942,63.4,267.2,266.8,131.5,728.9,1942,-18.8,27.4,35.3,28.2,24.0
1943,48.0,218.8,236.2,125.2,628.1,1943,-38.5,4.3,19.8,22,6.9
1944,61.4,231.7,260.3,68.3,621.6,1944,-21.4,10.5,32.0,-33.4,5.8
1945,62.7,239.0,178.2,184.1,664.0,1945,-19.7,14.0,-9.6,79.4,13.0
1946,92.3,231.9,235.6,52.1,612.0,1946,18.2,10.6,19.5,-49.2,4.2
1947,38.6,171.5,203.9,219.1,633.0,1947,-50.6,-18.2,3.4,113.5,7.7
1948,42.2,263.4,263.9,107.6,677.2,1948,-46.0,25.6,33.8,4.9,15.2
1949,40.2,258.7,159.3,111.7,569.9,1949,-48.5,23.4,-19.2,8.9,-3.0
1950,52.4,247.4,223.1,205.1,728.1,1950,-32.9,18.0,13.1,99.9,23.9
1951,52.2,116.0,184.0,71.6,423.8,1951,-33.2,-44.7,-6.7,-30.2,-27.9
1952,117.0,205.0,259.0,30.7,611.7,1952,49.8,-2.2,31.3,-70.1,4.1
1953,75.2,278.9,251.3,98.6,704.0,1953,-3.7,33.0,27.4,-3.9,19.8
1954,38.9,201.6,161.5,200.9,602.8,1954,-50.2,-3.9,-18.1,95.8,2.6
1955,79.5,189.6,299.9,164.3,733.3,1955,1.8,-9.6,52.1,60.1,24.8
1956,86.2,308.2,233.2,90.1,717.7,1956,10.4,47.0,18.3,-12.2,22.1
1957,55.3,224.7,206.6,110.6,597.1,1957,-29.2,7.2,4.8,7.8,1.6
1958,38.0,248.4,223.6,215.2,725.2,1958,-51.3,18.5,13.4,109.7,23.4
1959,32.3,274.7,225.9,155.4,688.3,1959,-58.6,31.0,14.6,51.5,17.1
1960,51.1,246.6,250.3,60.2,608.3,1960,-34.6,17.6,26.9,-41.3,3.5
1961,88.7,223.6,263.6,160.7,736.6,1961,13.6,6.6,33.7,56.6,25.4
1962,41.1,195.5,198.3,186.5,621.3,1962,-47.4,-6.8,0.6,81.8,5.7
1963,51.9,145.3,226.6,103.7,527.4,1963,-33.5,-30.7,14.9,1.1,-10.2
1964,60.7,265.9,192.8,132.7,652.1,1964,-22.3,26.8,-2.2,29.3,11.0
1965,16.9,171.4,124.3,65.2,377.8,1965,-78.4,-18.3,-37.0,-36.5,-35.7
1966,107.2,147.0,220.9,101.8,576.9,1966,37.3,-29.9,12.0,-0.8,-1.8
1967,59.7,195.7,278.0,127.9,661.3,1967,-23.6,-6.7,41.0,24.7,12.5
1968,50.9,253.1,166.5,34.4,504.8,1968,-34.8,20.7,-15.6,-66.5,-14.1
1969,28.1,207.1,214.2,119.6,569.0,1969,-64.0,-1.2,8.6,16.6,-3.2
1970,104.6,126.4,221.6,145.3,597.9,1970,33.9,-39.7,12.4,41.6,1.8
1971,140.4,209.4,218.8,85.0,653.7,1971,79.8,-0.1,11.0,-17.2,11.2
1972,40.5,136.2,178.7,72.4,427.9,1972,-48.1,-35.1,-9.4,-29.4,-27.2
1973,68.8,191.1,299.5,105.9,665.2,1973,-11.9,-8.9,51.9,3.2,13.2
1974,60.2,216.3,133.9,43.1,453.4,1974,-22.9,3.1,-32.1,-58,-22.8
1975,104.0,272.1,248.8,156.2,781.2,1975,33.2,29.8,26.2,52.2,32.9
1976,62.8,183.4,266.8,110.1,623.1,1976,-19.6,-12.5,35.3,7.3,6.0
1977,78.4,292.2,157.7,112.8,641.1,1977,0.4,39.3,-20.0,9.9,9.1
1978,113.4,255.1,227.1,113.7,709.3,1978,45.2,21.6,15.2,10.8,20.7
1979,52.3,183.6,106.9,35.5,378.3,1979,-33.0,-12.4,-45.8,-65.4,-35.6
1980,105.3,284.4,175.2,82.6,647.5,1980,34.8,35.6,-11.2,-19.5,10.2
1981,66.8,267.4,124.7,84.4,543.3,1981,-14.5,27.5,-36.8,-17.7,-7.5
1982,49.9,147.6,228.6,69.2,495.3,1982,-36.1,-29.6,15.9,-32.6,-15.7
1983,66.0,217.1,230.1,156.9,670.1,1983,-15.5,3.5,16.7,52.9,14.0
1984,101.5,181.6,213.9,108.3,605.2,1984,30.0,-13.4,8.5,5.6,3.0
1985,44.6,256.5,186.9,108.5,596.4,1985,-42.9,22.3,-5.2,5.8,1.5
1986,73.0,230.1,174.1,56.1,533.4,1986,-6.5,9.7,-11.7,-45.3,-9.2
1987,57.4,88.9,136.5,74.4,357.3,1987,-26.5,-57.6,-30.8,-27.5,-39.2
1988,78.0,316.8,238.6,180.1,813.5,1988,-0.1,51.1,21.0,75.5,38.4
1989,68.8,215.6,187.8,80.1,552.3,1989,-11.9,2.8,-4.8,-21.9,-6.0
1990,66.8,276.4,198.0,141.1,682.3,1990,-14.5,31.8,0.4,37.5,16.1
1991,56.3,140.0,226.2,92.4,514.8,1991,-27.9,-33.2,14.7,-9.9,-12.4
1992,35.2,194.2,245.7,157.1,632.1,1992,-54.9,-7.4,24.6,53.1,7.6
1993,92.1,246.7,92.3,155.8,586.9,1993,17.9,17.6,-53.2,51.9,-0.1
1994,88.5,298.6,257.4,92.5,737.0,1994,13.3,42.4,30.5,-9.8,25.4
1995,59.7,253.4,276.6,127.4,717.1,1995,-23.6,20.8,40.3,24.2,22.0
1996,151.0,162.7,316.8,98.5,729.1,1996,93.3,-22.4,60.6,-4,24.1
1997,78.3,176.2,188.5,55.9,498.9,1997,0.3,-16.0,-4.4,-45.5,-15.1
1998,70.9,177.8,171.0,110.9,530.7,1998,-9.2,-15.2,-13.3,8.1,-9.7
1999,69.2,191.5,157.5,111.6,529.9,1999,-11.4,-8.7,-20.1,8.8,-9.8
2000,101.8,228.8,146.3,78.3,555.2,2000,30.3,9.1,-25.8,-23.7,-5.5
2001,138.9,246.4,138.4,44.1,567.9,2001,77.8,17.5,-29.8,-57,-3.4
2002,60.6,56.4,164.6,117.7,399.2,2002,-22.4,-73.1,-16.5,14.7,-32.1
2003,68.2,231.6,199.8,155.1,654.7,2003,-12.7,10.4,1.3,51.2,11.4
2004,78.7,129.1,187.3,49.7,444.8,2004,0.8,-38.4,-5.0,-51.6,-24.3
2005,46.2,254.5,100.7,131.2,532.6,2005,-40.8,21.4,-48.9,27.9,-9.4
2006,71.7,196.0,203.4,87.1,558.2,2006,-8.2,-6.5,3.1,-15.1,-5.0
2007,87.4,176.7,175.2,78.2,517.5,2007,11.9,-15.7,-11.2,-23.8,-11.9
2008,165.3,219.1,198.1,83.7,666.2,2008,111.7,4.5,0.5,-18.4,13.4
2009,37.1,146.8,120.0,85.4,389.3,2009,-52.5,-30.0,-39.1,-16.8,-33.7
2010,53.9,219.3,231.1,159.7,664.1,2010,-31.0,4.6,17.2,55.7,13.0
2011,118.5,164.7,235.6,129.5,648.3,2011,51.7,-21.5,19.5,26.2,10.3
2012,21.2,155.4,246.7,134.7,558.0,2012,-72.9,-25.9,25.1,31.3,-5.0
2013,153.7,217.3,254.0,68.2,693.2,2013,96.8,3.6,28.8,-33.5,18.0
2014,31.7,171.3,137.7,163.3,504.1,2014,-59.4,-18.3,-30.2,59.2,-14.2
2015,93.8,235.5,133.0,57.7,520.0,2015,20.1,12.3,-32.6,-43.8,-11.5
2016,64.5,239.5,227.7,54.2,585.9,2016,-17.4,14.2,15.5,-47.2,-0.3
2017,106.8,233.4,144.1,69.9,554.2,2017,36.7,11.3,-26.9,-31.9,-5.7
2018,82.2,202.6,196.1,122.7,603.5,2018,5.2,-3.4,-0.6,19.6,2.7
2019,52.7,211.9,207.2,119.1,591.0,2019,-32.5,1.0,5.1,16.1,0.6
2020,77.6,155.2,212.3,58.7,503.8,2020,-0.6,-26.0,7.7,-42.8,-14.3
2021,84.9,197.1,138.4,152.2,572.7,2021,8.7,-6.0,-29.8,48.3,-2.5
2022,68.6,232.3,177.0,116.3,594.3,2022,-12.2,10.8,-10.2,13.3,1.1
