actual_year,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_year,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
YEAR,JUN,JUL,AUG,SEP,JUN-SEP,YEAR,JUN,JUL,AUG,SEP,JUN-SEP
1901,155.8,197.7,147.5,138.2,639.2,1901,-3.2,-3.3,-22.6,-13.6,-10.7
1902,117.5,212.0,165.1,196.3,690.8,1902,-27.0,3.7,-13.4,22.7,-3.5
1903,140.0,300.4,212.6,211.5,864.5,1903,-13.0,46.9,11.5,32.2,20.7
1904,191.3,187.1,91.0,136.4,605.7,1904,18.8,-8.5,-52.3,-14.8,-15.4
1905,155.6,120.7,192.9,105.7,575.0,1905,-3.4,-41.0,1.2,-33.9,-19.7
1906,180.1,224.5,225.9,114.7,745.2,1906,11.9,9.8,18.5,-28.3,4.1
1907,187.0,206.6,221.6,126.2,741.4,1907,16.1,1.0,16.3,-21.1,3.5
1908,121.2,239.1,155.4,245.0,760.7,1908,-24.7,16.9,-18.5,53.1,6.2
1909,149.7,218.9,201.4,140.7,710.7,1909,-7.0,7.0,5.7,-12.1,-0.8
1910,180.1,205.6,208.0,175.6,769.2,1910,11.9,0.5,9.1,9.8,7.4
1911,184.2,188.0,101.7,108.5,582.5,1911,14.4,-8.1,-46.6,-32.2,-18.7
1912,136.4,250.9,201.1,143.8,732.1,1912,-15.3,22.7,5.5,-10.1,2.2
1913,130.6,224.5,96.9,134.8,586.7,1913,-18.9,9.8,-49.2,-15.7,-18.1
1914,152.5,279.5,211.4,199.2,842.5,1914,-5.3,36.7,10.9,24.5,17.7
1915,190.5,196.8,144.4,194.8,726.5,1915,18.3,-3.8,-24.2,21.8,1.5
1916,193.2,261.3,191.9,194.9,841.2,1916,20.0,27.8,0.7,21.8,17.5
1917,202.5,160.7,202.6,251.4,817.3,1917,25.8,-21.4,6.3,57.1,14.1
1918,106.2,88.3,122.3,119.0,435.8,1918,-34.0,-56.8,-35.8,-25.6,-39.1
1919,164.3,190.3,119.6,187.8,661.9,1919,2.0,-6.9,-37.3,17.4,-7.6
1920,152.8,182.0,116.4,135.8,587.0,1920,-5.1,-11.0,-38.9,-15.1,-18.0
1921,141.0,228.7,185.5,130.6,685.8,1921,-12.4,11.8,-2.7,-18.4,-4.2
1922,141.9,220.3,126.3,109.3,597.8,1922,-11.9,7.7,-33.7,-31.7,-16.5
1923,110.1,280.3,161.2,179.4,731.0,1923,-31.6,37.1,-15.4,12.1,2.1
1924,152.6,301.0,172.4,208.2,834.2,1924,-5.2,47.2,-9.5,30.1,16.5
1925,157.6,208.5,194.7,101.9,662.7,1925,-2.1,2.0,2.2,-36.3,-7.5
1926,111.8,222.5,190.9,158.8,684.0,1926,-30.6,8.8,0.2,-0.7,-4.5
1927,181.6,238.7,143.7,171.3,735.4,1927,12.8,16.7,-24.6,7.1,2.7
1928,153.9,189.6,175.7,143.4,662.6,1928,-4.4,-7.3,-7.8,-10.4,-7.5
1929,209.8,154.4,118.5,175.5,658.2,1929,30.3,-24.5,-37.8,9.7,-8.1
1930,179.9,123.3,107.9,174.8,585.8,1930,11.7,-39.7,-43.4,9.3,-18.2
1931,149.8,219.1,217.4,169.7,756.1,1931,-7.0,7.1,14.1,6.1,5.6
1932,99.3,222.5,192.0,137.1,650.9,1932,-38.3,8.8,0.7,-14.3,-9.1
1933,191.6,221.7,204.8,189.2,807.3,1933,19.0,8.4,7.5,18.2,12.7
1934,177.4,202.4,161.9,82.6,624.2,1934,10.2,-1.0,-15.1,-48.4,-12.8
1935,135.3,206.1,190.3,145.9,677.6,1935,-16.0,0.8,-0.2,-8.8,-5.4
1936,181.0,198.0,141.4,150.8,671.3,1936,12.4,-3.2,-25.8,-5.7,-6.3
1937,115.0,245.0,113.9,128.1,602.0,1937,-28.6,19.8,-40.2,-19.9,-15.9
1938,186.7,207.2,216.8,203.9,814.6,1938,16.0,1.3,13.7,27.4,13.8
1939,131.1,171.7,171.3,124.2,598.2,1939,-18.6,-16.0,-10.1,-22.4,-16.5
1940,161.5,218.9,219.9,110.5,710.7,1940,0.3,7.0,15.4,-30.9,-0.8
1941,160.8,131.6,142.8,170.9,606.0,1941,-0.1,-35.6,-25.1,6.8,-15.4
1942,183.7,208.8,184.1,94.4,671.1,1942,14.1,2.1,-3.4,-41.0,-6.3
1943,161.9,200.1,98.9,185.8,646.7,1943,0.6,-2.2,-48.1,16.1,-9.7
1944,139.3,226.4,114.3,145.3,625.4,1944,-13.5,10.7,-40.0,-9.2,-12.7
1945,116.3,250.8,161.2,112.1,640.4,1945,-27.8,22.6,-15.4,-29.9,-10.6
1946,187.7,202.1,207.2,142.2,739.3,1946,16.6,-1.2,8.7,-11.1,3.2
1947,129.6,247.3,253.9,192.7,823.6,1947,-19.5,20.9,33.2,20.4,15.0
1948,146.4,198.3,191.9,137.6,674.1,1948,-9.1,-3.0,0.7,-14.0,-5.9
1949,146.6,237.9,181.4,197.5,763.4,1949,-8.9,16.3,-4.8,23.4,6.6
1950,124.5,245.3,147.9,197.0,714.7,1950,-22.7,20.0,-22.4,23.1,-0.2
1951,162.5,240.8,118.3,146.5,668.2,1951,0.9,17.8,-37.9,-8.4,-6.7
1952,123.7,162.5,143.2,78.4,507.8,1952,-23.2,-20.5,-24.9,-51.0,-29.1
1953,158.2,280.0,175.1,165.6,778.9,1953,-1.7,36.9,-8.1,3.5,8.8
1954,160.3,277.8,196.5,141.4,776.1,1954,-0.4,35.8,3.1,-11.6,8.4
1955,179.5,158.2,219.0,196.9,753.6,1955,11.5,-22.6,14.9,23.1,5.2
1956,206.1,276.1,148.1,159.0,789.3,1956,28.0,35.0,-22.3,-0.6,10.2
1957,196.8,213.7,198.7,90.8,700.1,1957,22.2,4.5,4.2,-43.3,-2.2
1958,143.1,259.9,246.4,121.8,771.3,1958,-11.1,27.1,29.3,-23.9,7.7
1959,221.7,322.1,192.0,180.5,916.4,1959,37.7,57.5,0.7,12.8,28.0
1960,150.1,221.9,96.6,227.8,696.5,1960,-6.8,8.5,-49.3,42.4,-2.7
1961,204.5,344.0,204.9,143.3,896.7,1961,27.0,68.2,7.5,-10.4,25.2
1962,92.9,243.9,229.6,202.9,769.2,1962,-42.3,19.3,20.5,26.8,7.4
1963,143.0,185.6,241.3,111.1,681.0,1963,-11.2,-9.2,26.6,-30.6,-4.9
1964,123.2,248.8,217.9,250.6,840.5,1964,-23.5,21.7,14.3,56.6,17.4
1965,136.6,214.8,174.7,137.0,663.2,1965,-15.2,5.0,-8.3,-14.4,-7.4
1966,109.0,235.0,142.0,185.0,671.0,1966,-32.3,14.9,-25.5,15.6,-6.3
1967,143.8,271.9,155.1,119.3,690.2,1967,-10.7,33.0,-18.6,-25.4,-3.6
